DistrictID	DistrictName	MarkerX1	MarkerY1	MarkerX2	MarkerY2	MarkerX3	MarkerY3	MarkerX4	MarkerY4
10000	GrandSenora	2881	1298	3698	3923	-86	3758	543	1526
10001	Port	-370	-2358	529	-2380	1611	-3377	-506	-3360
10002	EastLosSantos	625	-2567	691	5	2875	-192	2680	-2675
10003	Airport	-2002	-3043	-1314	-1778	-418	-2281	-991	-3633
10004	WestLosSantos	-1218	-1906	-2285	-387	-1396	191	-428	-1138
10005	SouthLosSantos	-379	-2282	-369	-1290	644	-1268	611	-2313
10006	PaletoBay	-1024	5252	-1003	7136	1831	7209	1178	5377
10007	Grapeseed	1700	4232	1606	5316	3000	5458	3087	4112
10008	Downtown	-397	-1203	-402	-521	534	-537	517	-1191
10009	Vinewood	625	-492	-644	459	857	257	454	-500
10011	NorthLosSantos	-3429	819	-3432	2593	-840	2828	-771	938
