ObjectID,ObjectIGName,ObjectHash,ObjectName,ObjectType,ResourceCargo,IndustModule,OfficeModule
,prop_rub_boxpile_02,,TinyBox,,,,
,prop_boxpile_07d,,LittleBox,,,,
,v_ind_cf_meatbox,,LittleMeatBox,,,,
,prop_boxpile_05a,,Box,,,,
,ex_prop_crate_elec_sc,,TV,,TV,,
,ex_prop_crate_tob_sc,,Alcohol,,Alcohol,,
,prop_pipes_01b,,Alloy,,Alloy,,
,prop_pipes_04a,,Metal,,Metal,,
,prop_woodpile_01b,,Lumber,,Lumber,,
,prop_conc_blocks01a,,Concrete,,Concrete,,
,xm3_prop_xm3_cem_bags_01a,,Cement,,Cement,,
,prop_conc_blocks01c,,Bricks,,Bricks,,
,ex_prop_crate_med_bc,,Medicine,,Medicine,,
,prop_ch_chemset_01a,,Chemicals,,Chemicals,,
,prop_boxpile_02c,,Fabric,,Fabric,,
,v_ind_cf_boxes,,Paper,,Paper,,
,v_ind_meatpacks,,Meat,,Meat,,
,stanier,,Vehicles,,Vehicles,,
,prop_railstack05,,Beam,,Beam,,
,prop_cs_aircon_01,,Aircooler,,Aircooler,,
,vw_prop_vw_aircon_m_01,,Aircon,,Aircon,,
,vw_prop_vw_elecbox_01a,,Elecbox,,Elecbox,,
,prop_ind_deiseltank,,Dieseltank,,Dieseltank,,
,prop_railstack04,,Railtrack,,Railtrack,,
,prop_storagetank_03b,1747145311,Storage Tank,,,,
,xs_prop_arena_industrial_c,3079983249,Industrial Annex1,,,,
,xs_prop_arena_industrial_a,3698956890,Industrial Annex2,,,,
