Id,LegacyKey,SiteName,SiteRole,District,MarkerX,MarkerY,MarkerZ,SpawnAX,SpawnAY,SpawnAZ,SpawnAHeading,SpawnOX,SpawnOY,SpawnOZ,SpawnOHeading,MaxObjectLine,MaxObjectRow,ObjectModel,GateX,GateY,GateZ,BarrierModel,WorkerX,WorkerY,WorkerZ,Input,OptionalInput,Output,Company,StartingResources,Density,EmptyingRate,OwnershipTier,IndustryProductionRateCasual,IndustryLicencePriceCasual,IndustryPriceCasual,IndustryProductionRateStandard,IndustryLicencePriceStandard,IndustryPriceStandard,IndustryProductionRateHardcore,IndustryLicencePriceHardcore,IndustryPriceHardcore,IndustryOwnerCut,InputCapacityCasual,InputCapacityStandard,InputCapacityHardcore,OutputCapacityCasual,OutputCapacityStandard,OutputCapacityHardcore,ProductionRatioCasual,ProductionRatioStandard,ProductionRatioHardcore,LicenceCasual,LicenceStandard,LicenceHardcore,Enabled,PermitCasual,PermitStandard,PermitHardcore,FreeRefuel,GroundLevel
100,MineralMine,Quarry,RawProducer,GrandSenora,2686,2767,37.88,2707,2755.62,37.36,120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2570.45,2710.2,41.69,3110450777,2677.02,2763.29,37.88,,Omega,"Gravel,Coal,Ore",,0.3,,,Starter,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,
101,OilField,Grand Senora Desert Oil Field,RawProducer,GrandSenora,587,2936,41,612,2915,40,320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Omega,Oil,,0.3,,,Regional,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,
102,Refinery,El Burro Heights Refinery,ProcessingPlant,EastLosSantos,1725,-1659,112.5,1740,-1705.65,112.5,138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2770.84,1482.36,24.52,Oil,Omega,Fuel,,0.3,,,Regional,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,
103,PlasticFactory,Los Santos Plastic Factory,ProcessingPlant,Port,269,-3024,5.72,227.55,-3045.57,6,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,252,-3042.5,5.88,Oil,Omega,Plastic,,0.3,,,Core,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,
104,SmeltingFactory,Cypress Flats Smelting Factory,ProcessingPlant,EastLosSantos,1073.11,-1952.96,31,1090,-1974.67,31,55,1066,-1972.45,31,145,2,2,2640273460,NaN,NaN,NaN,NaN,1055.32,-1962.45,31,"Ore,Coal",Omega,"Steel,Alloy,Recyclable",,0.3,,,Core,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,TRUE
105,MechanicalPartsFactory,La Mesa Mechanical Parts Factory,ManufacturingPlant,EastLosSantos,876,-946,26.25,861.85,-906.27,25.57,183,876.5,-955.78,26.28,184,4,2,300547451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Steel,Alloy",Omega,MechanicalParts,,0.3,,,Regional,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,TRUE
106,ProcessorFactory,Cypress Flats Processor Factory,ManufacturingPlant,Airport,-688.66,-2455.68,13.89,-696,-2473,13.83,59,-685,-2468.86,13.83,240,5,3,1935071027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Plastic,Alloy,Chemicals",Omega,"Processors,Recyclable",,0.3,,,Regional,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,TRUE
107,ConsumerElectronicsFactory,Consumer Electronics Factory,ManufacturingPlant,Airport,-1051.3,-2013.19,13.16,-1064,-2023,13.16,41,-1053,-2029,13.16,228,3,1,1935071027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Processors,MechanicalParts",Omega,"TV,Computer,Recyclable",,0.3,,,Expansion,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,TRUE
108,RecyclingCenter,La Puerta Recycling Center,RecyclingHub,WestLosSantos,-611.49,-1605.26,26.75,-648.68,-1634,24.96,146,-616.29,-1592.79,26.75,354,3,1,2953021284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Recyclable,Omega,"Metal,Alloy,Plastic",,0.3,,,Expansion,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,8,10,12,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,TRUE
109,OmegaFactory,Rancho Omega Factory,SpecialPlant,SouthLosSantos,494,-1969,24.92,479.74,-1991.74,24.86,37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,462.25,-1943,24.66,569833973,498,-1966.4,24.86,"Ore,Oil",,Omega,,0.3,,,Expansion,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,2.5,3,3.5,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,
110,Forest,Paleto Forest,RawProducer,PaletoBay,-801,5405,34.08,-812,5434.78,33.76,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Omega,Wood,,0.3,,,Regional,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,
111,Sawmill,Paleto Bay Sawmill,ProcessingPlant,PaletoBay,-561.69,5352,70.21,-570.69,5374.52,70.21,283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-553.88,5378.62,70.18,Wood,Omega,"Lumber,Paper",,0.3,,,Regional,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,
112,WoodFurnitureFactory,Cypress Flats Wood Furniture Factory,ManufacturingPlant,EastLosSantos,855.3,-2306.84,30.35,850.76,-2352.88,30.33,269,858.83,-2304.47,30.35,264,3,1,1935071027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Lumber,Omega,Furniture,,0.3,,,Regional,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,TRUE
113,Farm,Grapeseed Farm,RawProducer,Grapeseed,2307,4888,41.81,2290,4892,41.1,313,2301.44,4888.32,41.81,226,4,2,1700312454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,"LiquidFertilizer,Water","Crops,Livestock",,0.3,,,Regional,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,TRUE
114,AlcoholFactory,La Mesa Alcohol Factory,ProcessingPlant,EastLosSantos,837,-1937.4,29,840,-1968,29.29,87,831.32,-1939.58,30.31,88,3,1,2221734764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Crops,Omega,Alcohol,,0.3,,,Regional,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,TRUE
115,Slaughterhouse,Elysian Island Slaughterhouse,ProcessingPlant,EastLosSantos,951,-2185,30.55,926.93,-2188.71,30.3,354,939.37,-2177.21,30.53,357,5,2,379464063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Livestock,Omega,Meat,,0.3,,,Regional,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,TRUE
116,[FoodProcessingFactory],CluckingBell Food Processing Factory,ProcessingPlant,PaletoBay,46.32,6299.6,31.23,74.68,6305.32,31.28,303,37.87,6288.28,31.25,210,10,2,153748523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Crops,Livestock",Omega,ProcessedFood,,0.3,,,Core,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,TRUE
117,FabricFactory,La Mesa Fabric Factory,ProcessingPlant,EastLosSantos,1000,-1533.32,29.9,983.81,-1543.32,30.43,0,1002.49,-1547.89,30.82,180,3,5,153748523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Crops,Chemicals",Omega,Fabric,,0.3,,,Regional,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,TRUE
118,ClothingFactory,La Mesa Clothing Factory,ManufacturingPlant,EastLosSantos,766.24,-1261.72,26.36,749.88,-1256.6,26.35,269,762.15,-1261,26.35,180,4,1,153748523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fabric,Omega,Clothes,,0.3,,,Regional,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,TRUE
119,ChemicalPlant,Palmer-Taylor Chemical Plant,ProcessingPlant,GrandSenora,2766,1472,24.5,2737.7,1418.16,24,169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,578.11,2935.85,40.92,"Wood,Oil,Gravel,Crops",Omega,Chemicals,,0.3,,,Core,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,
120,PharmaceuticalFactory,Humane Labs Pharmaceutical Factory,ManufacturingPlant,GrandSenora,3629.67,3750.47,28.52,3629.17,3778.63,28.67,33,3622.4,3759.31,28.52,92,5,1,4217628831,3428.77,3763.1,30.64,1230099731,3637.75,3758.19,28.52,"Chemicals,Plastic",Omega,Medicine,,0.3,,,Regional,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,TRUE
121,CementFactory,Grand Senora Cement Factory,ProcessingPlant,GrandSenora,327.12,2857.91,43.55,306.09,2834,43.44,122,280,2832.2,43.5,124,10,2,646559885,NaN,NaN,NaN,NaN,286.72,2855.8,43.64,"Gravel,Coal",Omega,Cement,,0.3,,,Starter,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,TRUE
122,ConcreteFactory,Elysian Island Concrete Factory,ProcessingPlant,Port,675,-2730,6,638.24,-2743.37,6.15,310,683.96,-2737.92,6,185,4,2,2343741282,NaN,NaN,NaN,NaN,681.56,-2729.51,6.09,"Cement,Gravel",Omega,Concrete,,0.3,,,Regional,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,TRUE
123,BricksFactory,Grand Senora Bricks Factory,ProcessingPlant,GrandSenora,346,3407.65,36.57,334,3424.55,36.38,318,367.42,3416.49,36.33,203,5,4,1711856655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Cement,Gravel",Omega,Bricks,,0.3,,,Local,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,TRUE
124,BeamFactory,Cypress Flats Beam Factory,ManufacturingPlant,EastLosSantos,824.76,-2353.34,30.33,850.76,-2352.88,30.33,269,NaN,NaN,NaN,NaN,NaN,NaN,1606004099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Steel,Omega,"Beam,Recyclable",,0.3,,,Local,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,
125,VehicleFactory,Los Santos Vehicle Factory,ManufacturingPlant,Airport,-1155,-2173,13.2,-1183.84,-2185.05,13.2,330,-1163.11,-2212.82,13.2,330,10,2,2817386317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Steel,Plastic,Processors,Fabric,MechanicalParts",Omega,"Vehicles,Recyclable",,0.3,,,Expansion,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,TRUE
